56,0 415,0 1,000
50,0 85,0 1,014
15,0 191,0 0,933
58,0 455,0 1,000
55,0 310,0 1,000
37,0 236,0 0,978
44,0 454,0 1,000
31,0 302,0 1,000
0,0 432,0 1,000
46,0 437,0 1,000
10,0 139,0 0,930
31,0 339,0 1,000
51,0 345,0 1,000
55,0 436,0 1,000
36,0 321,0 1,000
0,0 409,0 1,000
10,0 265,0 0,917
48,0 367,0 1,000
12,0 205,0 0,923
60,0 352,0 1,000
21,0 106,0 0,976
2,0 377,0 1,000
5,0 149,0 0,921
57,0 425,0 1,000
2,0 382,0 1,000
45,0 24,0 1,122
15,0 136,0 0,947
8,0 84,0 0,950
15,0 445,0 1,000
47,0 267,0 0,978
2,0 455,0 1,000
10,0 154,0 0,919
6,0 454,0 1,000
26,0 186,0 0,956
36,0 195,0 0,978
40,0 63,0 1,088
58,0 39,0 1,119
23,0 290,0 0,950
11,0 266,0 0,920
19,0 305,0 1,000
37,0 30,0 1,119
40,0 137,0 1,001
37,0 28,0 1,119
34,0 157,0 0,978
16,0 229,0 0,937
9,0 315,0 1,000
30,0 322,0 1,000
48,0 182,0 0,978
58,0 140,0 0,998
56,0 15,0 1,122
60,0 220,0 0,978
46,0 73,0 1,043
50,0 261,0 0,978
55,0 43,0 1,116
13,0 436,0 1,000
41,0 222,0 0,978
48,0 455,0 1,000
60,0 15,0 1,122
23,0 442,0 1,000
27,0 194,0 0,958
55,0 318,0 1,000
17,0 157,0 0,943
51,0 348,0 1,000
23,0 220,0 0,950
53,0 37,0 1,121
41,0 68,0 1,073
4,0 106,0 0,947
43,0 418,0 1,000
4,0 162,0 0,918
27,0 96,0 0,994
57,0 9,0 1,122
39,0 449,0 1,000
40,0 267,0 0,978
24,0 325,0 1,000
2,0 147,0 0,923
19,0 25,0 1,015
4,0 34,0 0,978
35,0 123,0 1,007
30,0 402,0 1,000
16,0 193,0 0,937
45,0 321,0 1,000
4,0 344,0 1,000
3,0 370,0 1,000
42,0 286,0 0,978
0,0 220,0 0,917
4,0 317,0 1,000
59,0 122,0 1,007
55,0 117,0 1,008
11,0 370,0 1,000
56,0 111,0 1,010
23,0 411,0 1,000
8,0 352,0 1,000
1,0 337,0 1,000
37,0 275,0 0,978
59,0 226,0 0,978
34,0 385,0 1,000
33,0 308,0 1,000
20,0 332,0 1,000
12,0 448,0 1,000
4,0 390,0 1,000
13,0 27,0 0,996
39,0 147,0 0,987
11,0 355,0 1,000
23,0 370,0 1,000
6,0 326,0 1,000
9,0 182,0 0,917
38,0 133,0 1,003
52,0 17,0 1,122
36,0 49,0 1,106
9,0 177,0 0,917
0,0 371,0 1,000
46,0 344,0 1,000
51,0 60,0 1,095
30,0 140,0 0,982
54,0 407,0 1,000
51,0 420,0 1,000
36,0 58,0 1,099
3,0 266,0 0,917
15,0 181,0 0,933
18,0 224,0 0,950
4,0 398,0 1,000
16,0 255,0 0,937
17,0 48,0 0,999
36,0 72,0 1,052
55,0 134,0 1,002
4,0 6,0 0,978
56,0 210,0 0,978
26,0 250,0 0,956
57,0 338,0 1,000
18,0 322,0 1,000
10,0 354,0 1,000
58,0 311,0 1,000
33,0 300,0 0,973
30,0 438,0 1,000
32,0 383,0 1,000
12,0 374,0 1,000
34,0 277,0 0,978
49,0 131,0 1,004
57,0 12,0 1,122
48,0 111,0 1,010
37,0 442,0 1,000
10,0 49,0 0,971
38,0 41,0 1,115
53,0 441,0 1,000
29,0 76,0 1,000
43,0 107,0 1,011
36,0 143,0 0,995
29,0 282,0 0,962
3,0 259,0 0,917
26,0 341,0 1,000
41,0 172,0 0,978
4,0 75,0 0,950
58,0 291,0 0,978
13,0 406,0 1,000
5,0 59,0 0,967
17,0 303,0 1,000
19,0 82,0 0,978
45,0 56,0 1,102
37,0 40,0 1,114
27,0 275,0 0,958
48,0 102,0 1,013
19,0 267,0 0,950
54,0 224,0 0,978
4,0 284,0 0,917
19,0 173,0 0,950
33,0 93,0 1,011
11,0 214,0 0,920
20,0 376,0 1,000
37,0 432,0 1,000
57,0 115,0 1,009
58,0 44,0 1,115
13,0 341,0 1,000
7,0 182,0 0,917
41,0 231,0 0,978
4,0 262,0 0,917
45,0 317,0 1,000
13,0 440,0 1,000
46,0 308,0 1,000
46,0 53,0 1,107
32,0 14,0 1,099
5,0 190,0 0,917
46,0 58,0 1,099
39,0 128,0 1,005
